role_id,role_name,role_label,cluster_1_prob,cluster_2_prob,cluster_3_prob,cluster_4_prob,cluster_5_prob,cluster_6_prob,cluster_7_prob,cluster_8_prob,cluster_9_prob,cluster_10_prob
19,年,9,0.11766754688085908,0.08590473260586969,0.15767893322581233,0.04339542863324779,0.04938581434740485,0.1553223995477859,0.07138905334952715,0.12680580705526806,0.0274318353442811,0.1650184490099442
20,刻俄柏,3,0.14830807031775434,0.011354483189023075,0.08789983687119489,0.2195673822518251,0.005510068795880343,0.039473798913497005,0.20017262454758467,0.02268827746205222,0.20613158023532996,0.058893877415858414
21,风笛,6,0.17251560727266352,0.02107582903359377,0.12438012686350373,0.16273032550951133,0.010509297922005155,0.06535242648069095,0.18490798915339735,0.03994757735410701,0.1271078736825947,0.09147294672793246
22,傀影,2,0.1346183417743464,0.0722604705421859,0.15909341061166166,0.059434992462284876,0.0415055565335202,0.13961717940912924,0.09122482750243767,0.10920071905440777,0.03902450289060426,0.15401999921942205
23,温蒂,6,0.1684816801897963,0.01900506199757627,0.11641389959963679,0.17502841338202346,0.009460115196958215,0.05964070751623425,0.1900927043716981,0.03623056927284218,0.141477525951632,0.08416932252160236
24,W,1,0.03543558370258947,0.2230162887500009,0.07073724039559892,0.008849606503533938,0.21231199441731124,0.14199178076362426,0.016521165512252075,0.18642869058474312,0.005315616281138118,0.09939203308920783
25,早露,7,0.055589841687094174,0.1738309378924348,0.10249835159238797,0.014761702433565699,0.12723706657463935,0.16789467208698233,0.02708925032422011,0.18722690421175742,0.008884650420907763,0.13498662277601056
26,铃兰,3,0.14448368237101078,0.010208395818814775,0.08274517798218264,0.22774346143454488,0.00493294147160751,0.03618104354989495,0.20226234128888873,0.020567924991663926,0.21635330852240128,0.0545217225689904
27,棘刺,7,0.06734716837731314,0.15541446903191067,0.11374325669722535,0.020015532964032988,0.11054441415974844,0.16715994568707954,0.0351785269256033,0.17651140692884487,0.012312165269499766,0.14177311395874206
28,森蚺,1,0.0398332047361909,0.21160450203744713,0.07864352876067468,0.009945677918100942,0.1852629466446856,0.15093403594399488,0.018613660253687953,0.18995260007071327,0.005943949066126708,0.10926589456837796
29,史尔特尔,3,0.15631668118254172,0.011587130161018446,0.09288489215368043,0.21410982387672123,0.005581626391743264,0.041135696684670396,0.205442504298597,0.023352873897609937,0.18775052533885644,0.06183824601456101
30,瑕光,5,0.09789277727069232,0.11007778726829831,0.14336489873479152,0.03286766566192886,0.06833584470977452,0.16448385498173448,0.05581435227267245,0.14704410335037305,0.02050040022589749,0.15961831552383685
31,泥岩,2,0.126194207172143,0.07597617250656581,0.1630422673628563,0.0490200065509182,0.04197491968953214,0.15027366905214343,0.07906566775951077,0.11780579380452555,0.03124803682389778,0.16539925927790702
32,迷迭香,5,0.09862079317800808,0.10959216466205811,0.1423591241614762,0.03455896553558693,0.06839718327780114,0.1627984106705905,0.057518181922086055,0.14617616125575483,0.021778108961113943,0.1582009063755244
33,山,5,0.08992485131033665,0.11801852632536783,0.1378329246607683,0.029242475927139962,0.0733727087771697,0.1684657466248616,0.05000119637303992,0.1556484495698533,0.018132174161404023,0.1593609462700587
34,空弦,1,0.035385405645018665,0.2227548412674517,0.07110627869367077,0.008736704277030214,0.2093882481979979,0.14316937839387228,0.016396239169747515,0.18758029805098655,0.00522803080252608,0.10025457550169847
35,嵯峨,1,0.03847332303517649,0.21470288487797293,0.07682303464367972,0.00950171243400789,0.18841384925051805,0.15009650925416043,0.017849624346497346,0.19086835939288316,0.005672227652312193,0.10759847511279183
36,夕,7,0.05623746559369951,0.17484899664815923,0.10175504012518972,0.015426622298313314,0.1310141129562271,0.16540268705548128,0.027926278750268322,0.18529829827998603,0.009370341181628314,0.13272015711104712
37,灰烬,5,0.07956317253020853,0.13359471482362287,0.12874311899143884,0.02412330574190425,0.08772946051669696,0.17021947549071575,0.042371733120723634,0.1650489865821679,0.014814982595034323,0.15379104960748682
38,异客,1,0.03979101036751582,0.21184438564993266,0.07835296466228682,0.009985980659892422,0.18688239038876378,0.15029299926707437,0.018643017173703064,0.18946094675157055,0.005979119423217145,0.10876718565604358
39,歌蕾蒂娅,0,0.17255214864692284,0.03419112848931874,0.1497504841290937,0.11606095551505478,0.017572363518820657,0.09305862789885838,0.15174191475251764,0.06109160135996567,0.08270275741179359,0.12127801827765412
40,凯尔希,2,0.16198658557031329,0.045705905647166235,0.16634725384841892,0.08346100931932139,0.02366592987781281,0.11626555637314616,0.12165983557407761,0.07941425873306604,0.0559402988045149,0.1455533662521627
41,浊心斯卡蒂,0,0.17014650181171487,0.037482823823420885,0.15864332531271308,0.10214922562643831,0.01909767239301528,0.10196507457570675,0.13971179552414212,0.06710658273019852,0.07143555318966276,0.1322614450129873
42,卡涅利安,1,0.03907013848763276,0.2128399755876617,0.07788960239126548,0.009652473881949064,0.18665694683757397,0.1507848302205912,0.018136759255640227,0.19038428053652814,0.005765001873559627,0.1088199909275978
43,帕拉斯,4,0.030416974759116564,0.2338467903380934,0.06288668234479962,0.0072838464776428385,0.23851883367138685,0.1342637248512965,0.013816332964268407,0.18412383730149443,0.004336769777825654,0.09050620751407558
44,水月,1,0.045004927941077875,0.19997408777089268,0.08607271402338315,0.011681243775902989,0.16606410633837035,0.15630857735992126,0.02153997528206998,0.189274783310665,0.0070405011254715015,0.11703908307224509
45,假日威龙陈,0,0.17532878167698224,0.033300103632964644,0.15461348925872107,0.11186429663473033,0.016888619532629403,0.09406391899665256,0.15012766321493745,0.060549033906543474,0.07848412471561395,0.12477996843022475
46,琴柳,0,0.17179508458140472,0.03205648877184241,0.1433202339817749,0.12629603516372148,0.016572156241749042,0.08730409444850659,0.1586073894440142,0.057167712350981933,0.09261084541508974,0.11426995960091484
47,远牙,4,0.02348023345379337,0.2463589643688127,0.04986705405591264,0.005506299265035887,0.3027882512413076,0.11517695563160148,0.010511664753211521,0.16976064299309204,0.0032798599728380813,0.07327007426439479
